agent0,agent1,agent2,agent3,agent4,agent5,agent6,agent7,agent8,agent9,agent10,agent11,agent12,agent13,agent14,agent15,agent16,agent17,agent18,agent19
17,1,9,16,8,10,6,13,3,12,4,15,19,7,11,18,14,5,0,2
11,9,4,0,6,19,2,8,16,14,3,18,17,10,5,15,1,7,13,12
3,8,13,6,1,5,15,10,19,4,7,14,0,17,12,18,11,9,2,16
16,2,1,18,4,15,6,7,17,10,19,11,9,14,0,8,5,3,13,12
6,17,13,1,5,18,3,15,16,12,11,9,8,4,19,10,14,7,2,0
14,5,0,19,11,1,16,10,12,13,7,6,4,8,18,17,15,2,9,3
13,11,5,17,8,2,3,1,4,18,19,9,10,15,7,6,14,0,12,16
5,0,2,17,18,3,7,16,12,14,10,4,15,8,11,19,13,1,6,9
11,9,7,19,5,16,2,0,14,17,15,1,6,8,12,3,10,18,4,13
13,19,6,0,7,3,1,2,18,8,9,11,14,15,12,5,4,17,10,16
16,15,7,4,18,2,3,0,9,19,1,14,13,6,8,17,11,10,5,12
11,15,13,0,9,1,3,14,12,7,2,10,16,17,4,6,19,18,8,5
12,10,16,15,9,8,18,3,7,2,6,19,13,1,4,14,5,17,11,0
2,3,14,10,13,5,15,6,4,12,17,0,1,9,8,7,18,11,19,16
12,3,2,6,4,1,16,17,11,9,15,19,18,10,5,13,7,8,14,0
16,9,5,2,4,17,10,13,19,3,6,14,18,8,12,1,7,11,15,0
10,16,7,0,14,17,6,5,8,19,9,15,4,13,18,3,2,1,12,11
13,7,2,1,11,4,16,10,5,14,8,9,6,3,0,19,15,18,12,17
3,10,15,0,1,18,6,7,13,8,19,5,4,12,16,14,11,17,9,2
5,9,18,3,6,10,12,0,17,4,16,7,8,2,19,15,1,13,14,11
12,4,13,19,3,9,15,14,10,17,2,16,7,1,5,18,0,6,11,8
15,10,11,13,17,4,8,0,14,19,1,7,12,3,9,18,16,5,6,2
17,4,9,3,19,6,15,5,11,7,0,13,18,8,1,14,12,2,10,16
0,3,2,8,4,5,18,10,17,16,1,11,12,13,6,7,9,14,15,19
17,16,19,18,15,3,1,8,5,4,9,14,10,0,6,13,7,2,12,11
7,10,2,8,19,11,4,9,16,13,3,1,17,0,12,18,6,15,5,14
12,17,10,15,11,6,19,8,0,5,13,4,2,14,3,7,18,9,1,16
2,12,11,5,7,16,6,0,18,14,10,3,9,13,8,1,17,4,15,19
17,19,6,16,4,18,7,15,9,8,1,0,14,3,5,11,12,13,10,2
15,13,17,10,4,11,5,0,16,14,6,1,18,9,7,2,12,3,8,19
1,10,12,9,15,19,5,13,7,4,6,0,14,17,3,2,8,16,11,18
1,8,17,6,5,2,16,7,4,9,14,10,15,3,13,0,18,11,19,12
5,10,7,16,12,18,2,17,0,13,14,19,3,6,8,1,9,4,15,11
5,9,18,16,7,4,15,19,1,17,11,6,12,14,10,2,13,0,3,8
4,19,11,15,16,14,8,1,9,17,18,13,6,3,7,0,5,10,12,2
14,16,0,5,6,1,7,8,12,19,9,11,17,3,4,18,2,15,10,13
7,16,18,6,8,19,9,10,17,12,15,4,13,1,2,14,5,0,3,11
4,0,6,16,5,13,3,10,12,8,14,18,17,11,1,19,15,9,2,7
11,19,16,7,17,2,4,14,1,13,10,18,12,6,0,9,5,8,3,15
16,8,0,13,15,3,14,4,9,19,7,12,5,2,1,10,11,6,17,18
8,16,13,12,3,17,19,18,4,0,11,5,15,2,10,9,7,6,14,1
19,14,16,18,4,10,3,11,9,12,0,1,17,8,2,5,6,7,13,15
0,3,11,7,14,5,19,16,4,12,17,6,15,10,18,2,9,1,8,13
18,14,11,15,19,4,1,10,5,0,7,13,6,12,3,8,16,17,9,2
15,7,3,19,14,4,8,10,11,2,12,5,9,17,1,0,13,18,6,16
17,12,3,18,15,11,9,7,13,14,6,19,0,8,10,4,1,5,16,2
12,0,14,1,2,19,10,11,18,8,3,17,5,7,9,6,16,15,13,4
13,6,5,14,3,7,18,19,16,8,0,11,9,10,1,4,15,12,2,17
19,0,12,7,17,2,14,3,4,1,9,8,5,10,13,11,16,18,6,15
9,12,11,7,10,15,3,5,17,2,19,8,16,18,0,14,13,6,4,1
18,15,7,4,13,11,12,6,1,2,9,17,10,16,14,0,19,8,3,5
18,0,3,6,13,19,5,4,7,17,10,9,1,8,11,2,14,12,15,16
17,9,1,11,2,16,0,5,3,7,15,19,8,18,13,12,6,4,10,14
0,6,13,9,10,19,8,2,4,16,15,5,17,7,1,12,18,3,11,14
13,14,17,0,6,18,8,15,12,9,7,3,5,1,10,19,11,2,4,16
10,12,2,9,0,16,11,18,17,3,4,13,6,19,5,7,14,8,15,1
17,6,16,2,19,0,10,11,7,13,14,15,8,4,1,18,3,5,12,9
2,13,16,0,1,18,3,12,15,11,5,8,4,7,9,19,6,14,10,17
18,13,5,19,15,11,9,4,7,14,12,3,2,1,17,8,0,6,10,16
12,5,0,11,2,14,6,8,3,13,4,16,18,17,7,15,9,19,10,1
5,18,10,14,4,6,17,8,13,12,16,9,3,19,0,15,7,1,11,2
4,10,17,19,6,8,0,9,7,1,11,12,3,2,14,15,16,13,18,5
4,13,3,7,12,14,1,2,8,17,15,16,0,10,11,5,6,18,19,9
17,2,13,11,1,10,12,5,9,3,6,18,19,4,15,0,7,16,14,8
9,8,10,2,19,1,18,4,14,0,13,3,7,5,11,15,16,12,17,6
1,14,7,2,6,12,16,17,18,9,0,8,4,10,19,3,15,5,13,11
14,0,8,4,2,3,10,13,7,5,16,12,11,18,9,17,1,6,15,19
7,1,2,19,4,17,11,16,0,15,18,13,9,3,10,14,8,6,5,12
14,2,1,8,17,3,9,18,12,5,16,7,15,6,4,13,0,10,19,11
12,14,4,7,9,10,13,3,15,18,8,19,6,5,0,11,1,2,16,17
17,8,6,3,14,15,0,13,12,7,2,4,5,10,19,1,9,11,18,16
12,13,14,8,0,2,10,3,16,7,11,19,6,18,1,4,15,5,9,17
9,5,4,2,7,16,1,12,10,3,17,6,0,8,18,11,14,13,15,19
1,13,0,14,8,7,12,10,15,3,17,2,6,9,18,5,16,11,19,4
0,1,7,10,17,13,6,4,8,19,14,12,15,5,9,3,11,2,16,18
16,12,13,7,3,6,14,10,17,5,15,1,4,2,8,9,19,18,0,11
17,19,14,5,8,7,3,18,12,1,16,0,9,13,10,4,2,6,11,15
17,2,5,13,9,18,10,16,1,7,8,19,14,4,0,6,3,12,15,11
7,4,2,15,11,19,9,1,18,17,5,12,14,3,16,6,10,8,13,0
2,16,9,18,8,5,0,15,17,6,19,11,10,7,1,13,14,4,3,12
7,11,9,16,8,10,18,14,4,3,17,6,2,1,13,19,12,0,15,5
6,18,5,19,8,4,3,0,1,7,11,16,10,12,17,2,15,9,13,14
12,10,18,19,4,5,14,0,7,6,11,9,3,16,2,1,15,8,13,17
16,2,4,13,10,6,3,17,18,1,11,8,12,0,9,7,15,5,19,14
15,13,7,3,10,8,0,1,6,5,19,4,11,16,17,2,9,18,14,12
18,9,2,15,16,11,4,6,8,0,19,7,5,17,3,12,13,14,1,10
19,10,3,17,6,4,5,9,16,15,7,14,18,11,0,13,8,2,12,1
13,2,0,14,1,3,19,5,9,12,10,6,7,18,8,17,15,4,11,16
19,13,8,6,15,14,0,3,4,1,16,2,9,7,11,18,10,17,5,12
6,11,12,0,18,15,1,9,13,3,14,16,2,17,10,7,4,8,5,19
11,5,13,18,16,14,2,17,6,4,15,9,0,8,7,12,3,1,19,10
7,9,13,2,15,14,4,3,5,8,17,0,12,6,18,1,10,11,19,16
6,9,3,18,8,0,16,12,2,7,19,17,14,11,1,15,4,10,5,13
14,16,6,9,18,19,1,5,0,10,3,2,11,13,4,17,7,8,12,15
18,4,15,16,0,17,14,6,11,12,1,7,2,13,9,5,10,3,19,8
12,13,17,5,16,18,3,15,8,19,1,6,0,7,9,10,11,14,4,2
0,17,15,1,7,8,19,6,2,10,5,12,18,13,11,9,4,16,3,14
4,0,13,19,15,16,6,17,14,18,9,10,7,1,3,11,5,2,8,12
2,18,13,4,17,8,15,16,0,14,19,7,6,11,10,1,12,3,5,9
4,19,14,18,13,12,5,9,17,16,6,0,3,11,2,1,7,15,8,10
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
agent0,agent1,agent2,agent3,agent4,agent5,agent6,agent7,agent8,agent9,agent10,agent11,agent12,agent13,agent14,agent15,agent16,agent17,agent18,agent19
0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
